dataset,algorithm,n,k,id,time,mst_cost,min_dist,kmeans_loss,smallest_cluster,seed,min_size,min_dist_upper_bound,search_all
anuran,sl,7195,10,1,0.6724073886871338,8.770872689009588,0.862431138988465,3700.8213915249726,1,,,,
avila,sl,20867,12,1,4.019937515258789,5.170722296463071,0.23285128011995745,971.2977959264629,1,,,,
collins,sl,1000,30,1,0.013971567153930664,17.759957458124337,0.5580516473883278,399.95548459147386,1,,,,
digits,sl,1797,10,1,0.15607404708862305,258.53216628993,27.65863337187866,2145595.8327740496,1,,,,
iris,sl,150,3,1,0.0012898445129394531,2.4586572238729114,0.8185352771872374,142.47936734693948,2,,,,
letter,sl,20000,26,1,4.573911190032959,8.288714401334703,0.3126943839882289,7547.796381769818,1,,,,
mice,sl,552,8,1,0.015732765197753906,12.209699899616899,1.404448061563963,2790.387400837457,1,,,,
newsgroups,sl,18846,20,1,274.1900520324707,19.0,0.9999999999999999,17780.56102366964,1,,,,
pendigits,sl,10992,10,1,1.4435019493103027,750.7756059673465,75.56454194925024,163261566.58686948,1,,,,
sensorless,sl,58509,11,1,93.74873352050781,18.24999131342585,0.8579294103278794,32314.748454023473,1,,,,
vowel,sl,990,11,1,0.009109020233154297,7.915440084372,0.6977498408254923,1272.552259109649,2,,,,
anuran,km,7195,10,1,2.1690444946289062,1.0323141413945627,0.0636165651449468,1086.3036948744711,118,1.0,,,
anuran,km,7195,10,2,2.06673264503479,1.0940680554875595,0.06300208421897907,1073.3037656930921,274,2.0,,,
anuran,km,7195,10,3,2.0861775875091553,0.9108013630572073,0.03010068186417442,1074.4668471322934,335,3.0,,,
anuran,km,7195,10,4,1.3529839515686035,1.1165251535927454,0.06300208421897907,1073.333404211915,269,4.0,,,
anuran,km,7195,10,5,2.280352830886841,1.0280716583099898,0.0689581347475418,1085.2298255045985,94,5.0,,,
anuran,km,7195,10,6,2.359344959259033,1.094068055487562,0.06300208421897907,1073.3049190927836,268,6.0,,,
anuran,km,7195,10,7,2.237971544265747,1.0319368811632945,0.06300208421897907,1084.7838445409895,293,7.0,,,
anuran,km,7195,10,8,2.0544674396514893,1.0384297628986372,0.06300208421897907,1073.79515799778,273,8.0,,,
anuran,km,7195,10,9,1.02836012840271,0.8663184071115377,0.03300135343977385,1074.4783587404252,381,9.0,,,
anuran,km,7195,10,10,1.33846116065979,0.8883442649520281,0.03010068186417442,1074.5107344574312,336,10.0,,,
avila,km,20867,12,1,3.410532236099243,0.6476894556648256,0.001350003980934586,210.58407952358,79,1.0,,,
avila,km,20867,12,2,3.329702377319336,0.6601206438921752,0.00452579993156387,208.514797063566,89,2.0,,,
avila,km,20867,12,3,3.2298355102539062,0.6826810457743715,0.004097444920720857,205.3549317541538,89,3.0,,,
avila,km,20867,12,4,3.1951920986175537,0.3926479563781619,0.003141751360212381,210.42379179207958,89,4.0,,,
avila,km,20867,12,5,2.899308919906616,0.7230361125227325,0.002798608457630146,208.87877144409242,73,5.0,,,
avila,km,20867,12,6,3.373953342437744,0.6756562782054136,0.004052999944220776,205.16398315571598,89,6.0,,,
avila,km,20867,12,7,3.052337408065796,0.6551231645017365,0.004052999944220776,205.1565774448576,89,7.0,,,
avila,km,20867,12,8,3.673438549041748,0.7695130135156321,0.0046145206452355095,208.7972228093405,73,8.0,,,
avila,km,20867,12,9,4.06890869140625,0.6369599273485465,0.003962310758654603,208.751954181212,89,9.0,,,
avila,km,20867,12,10,2.9593400955200195,0.7459095092192676,0.003426304035801113,205.393442961972,73,10.0,,,
